Name,Month ,Year,Value
Kebasi ,January ,2014,864
Kebasi ,February ,2014,801
Kebasi ,March,2014,645
Kebasi , April,2014,734
Kebasi ,May,2014,1419
Kebasi , June,2014,645
Kebasi , July,2014,683
Kebasi , August,2014,681
Kebasi ,September,2014,722
Kebasi , October,2014,725
Kebasi ,November,2014,625
Kebasi ,December,2014,720
Selangat,January ,2014,0
Selangat,February ,2014,0
Selangat,March,2014,0
Selangat, April,2014,0
Selangat,May,2014,0
Selangat, June,2014,0
Selangat, July,2014,0
Selangat, August,2014,0
Selangat,September,2014,0
Selangat, October,2014,0
Selangat,November,2014,0
Selangat,December,2014,0
Puput,January ,2014,214
Puput,February ,2014,507
Puput,March,2014,550
Puput, April,2014,442
Puput,May,2014,370
Puput, June,2014,806
Puput, August,2014,380
Puput,September,2014,449
Puput, October,2014,641
Puput,December,2014,481
Beliak Mata,January ,2014,547
Beliak Mata,February ,2014,837
Beliak Mata,March,2014,695
Beliak Mata, April,2014,631
Beliak Mata,May,2014,746
Beliak Mata, June,2014,673
Beliak Mata, July,2014,983
Beliak Mata, August,2014,703
Beliak Mata,September,2014,571
Beliak Mata, October,2014,905
Beliak Mata,November,2014,509
Beliak Mata,December,2014,409
Terubuk,January ,2014,2
Terubuk,February ,2014,2
Terubuk,March,2014,9
Terubuk, April,2014,4
Terubuk,May,2014,5
Terubuk, June,2014,1
Terubuk, July,2014,1
Terubuk, August,2014,1
Terubuk,September,2014,1
Terubuk, October,2014,1
Terubuk,November,2014,3
Terubuk,December,2014,3
Terubuk T.Macrura,January ,2014,0
Terubuk T.Macrura,February ,2014,0
Terubuk T.Macrura,March,2014,0
Terubuk T.Macrura, April,2014,0
Terubuk T.Macrura,May,2014,0
Terubuk T.Macrura, June,2014,0
Terubuk T.Macrura, July,2014,0
Terubuk T.Macrura, August,2014,0
Terubuk T.Macrura,September,2014,0
Terubuk T.Macrura, October,2014,0
Terubuk T.Macrura,November,2014,0
Terubuk T.Macrura,December,2014,0
Ikan Tiram,January ,2014,0
Ikan Tiram,February ,2014,1
Ikan Tiram,March,2014,0
Ikan Tiram, April,2014,0
Ikan Tiram,May,2014,0
Ikan Tiram, June,2014,0
Ikan Tiram, July,2014,0
Ikan Tiram, August,2014,0
Ikan Tiram,September,2014,0
Ikan Tiram, October,2014,0
Ikan Tiram,November,2014,0
Ikan Tiram,December,2014,0
Empirit,January ,2014,0
Empirit,February ,2014,0
Empirit,March,2014,0
Empirit, April,2014,0
Empirit,May,2014,0
Empirit, June,2014,0
Empirit, July,2014,0
Empirit, August,2014,0
Empirit,September,2014,0
Empirit, October,2014,0
Empirit,November,2014,0
Empirit,December,2014,0
Siakap,January ,2014,10
Siakap,February ,2014,21
Siakap,March,2014,28
Siakap, April,2014,16
Siakap,May,2014,26
Siakap, June,2014,34
Siakap, July,2014,51
Siakap, August,2014,31
Siakap,September,2014,20
Siakap, October,2014,21
Siakap,November,2014,19
Siakap,December,2014,24
Sebelah,January ,2014,235
Sebelah,March,2014,232
Sebelah, April,2014,257
Sebelah,May,2014,239
Sebelah, June,2014,231
Sebelah, July,2014,236
Sebelah, August,2014,266
Sebelah,September,2014,257
Sebelah, October,2014,317
Sebelah,November,2014,244
Sebelah,December,2014,215
Kebasi ,January ,2015,853
Kebasi ,February ,2015,752
Kebasi ,March,2015,849
Kebasi , April,2015,936
Kebasi ,May,2015,1017
Kebasi, June,2015,779
Kebasi , July,2015,740
Kebasi , August,2015,782
Kebasi ,September,2015,800
Kebasi , October,2015,679
Kebasi ,November,2015,861
Kebasi ,December,2015,792
Selangat,January ,2015,0
Selangat,February ,2015,0
Selangat,March,2015,0
Selangat, April,2015,0
Selangat,May,2015,0
Selangat, June,2015,0
Selangat, July,2015,0
Selangat, August,2015,0
Selangat,September,2015,0
Selangat, October,2015,0
Selangat,November,2015,0
Selangat,December,2015,0
Puput,February ,2015,906
Puput,March,2015,624
Puput, April,2015,854
Puput,May,2015,750
Puput, June,2015,722
Puput, July,2015,747
Puput, August,2015,720
Puput, October,2015,911
Puput,November,2015,968
Puput,December,2015,1076
Beliak Mata,January ,2015,871
Beliak Mata,February ,2015,930
Beliak Mata,March,2015,888
Beliak Mata, April,2015,921
Beliak Mata,May,2015,859
Beliak Mata, June,2015,934
Beliak Mata, July,2015,878
Beliak Mata, August,2015,834
Beliak Mata,September,2015,797
Beliak Mata, October,2015,799
Beliak Mata,November,2015,746
Beliak Mata,December,2015,776
Terubuk,January ,2015,39
Terubuk,February ,2015,37
Terubuk,March,2015,54
Terubuk, April,2015,72
Terubuk,May,2015,55
Terubuk, June,2015,65
Terubuk, July,2015,61
Terubuk, August,2015,63
Terubuk,September,2015,47
Terubuk, October,2015,54
Terubuk,November,2015,25
Terubuk,December,2015,20
Terubuk T.Macrura,January ,2015,4
Terubuk T.Macrura,February ,2015,21
Terubuk T.Macrura,March,2015,480
Terubuk T.Macrura, April,2015,390
Terubuk T.Macrura,May,2015,284
Terubuk T.Macrura, June,2015,147
Terubuk T.Macrura, July,2015,385
Terubuk T.Macrura, August,2015,114
Terubuk T.Macrura,September,2015,59
Terubuk T.Macrura, October,2015,298
Terubuk T.Macrura,November,2015,49
Terubuk T.Macrura,December,2015,12
Ikan Tiram,January ,2015,0
Ikan Tiram,February ,2015,2
Ikan Tiram,March,2015,0
Ikan Tiram, April,2015,0
Ikan Tiram,May,2015,0
Ikan Tiram, June,2015,0
Ikan Tiram, July,2015,0
Ikan Tiram, August,2015,0
Ikan Tiram,September,2015,0
Ikan Tiram, October,2015,0
Ikan Tiram,November,2015,12
Ikan Tiram,December,2015,0
Empirit,January ,2015,3
Empirit,February ,2015,11
Empirit,March,2015,55
Empirit, April,2015,42
Empirit,May,2015,87
Empirit, June,2015,55
Empirit, July,2015,162
Empirit, August,2015,33
Empirit,September,2015,11
Empirit, October,2015,47
Empirit,November,2015,31
Empirit,December,2015,3
Siakap,January ,2015,152
Siakap,February ,2015,155
Siakap,March,2015,124
Siakap, April,2015,137
Siakap,May,2015,137
Siakap, June,2015,158
Siakap, July,2015,127
Siakap, August,2015,110
Siakap,September,2015,109
Siakap, October,2015,100
Siakap,November,2015,114
Siakap,December,2015,129
Sebelah,January ,2015,333
Sebelah,February ,2015,345
Sebelah,March,2015,348
Sebelah, April,2015,388
Sebelah,May,2015,332
Sebelah, June,2015,351
Sebelah, July,2015,324
Sebelah, August,2015,358
Sebelah,September,2015,331
Sebelah, October,2015,328
Sebelah,November,2015,351
Sebelah,December,2015,370
Kebasi,January ,2016,947
Kebasi ,February ,2016,1474
Kebasi ,March,2016,871
Kebasi , April,2016,1091
Kebasi ,May,2016,713
Kebasi , June,2016,853
Kebasi , July,2016,670
Kebasi , August,2016,894
Kebasi ,September,2016,958
Kebasi , October,2016,797
Kebasi ,November,2016,741
Kebasi,December,2016,511
Selangat,January ,2016,0
Selangat,February ,2016,0
Selangat,March,2016,0
Selangat, April,2016,0
Selangat,May,2016,0
Selangat, June,2016,0
Selangat, July,2016,0
Selangat, August,2016,0
Selangat,September,2016,0
Selangat, October,2016,11
Selangat,November,2016,30
Selangat,December,2016,434
Puput,January ,2016,881
Puput,February ,2016,851
Puput,March,2016,628
Puput, April,2016,574
Puput,May,2016,915
Puput, June,2016,624
Puput, July,2016,981
Puput, August,2016,757
Puput, October,2016,487
Puput,November,2016,814
Puput,December,2016,617
Beliak Mata,January ,2016,626
Beliak Mata,February ,2016,677
Beliak Mata,March,2016,934
Beliak Mata, April,2016,829
Beliak Mata,May,2016,713
Beliak Mata, June,2016,873
Beliak Mata, July,2016,745
Beliak Mata, August,2016,742
Beliak Mata,September,2016,817
Beliak Mata, October,2016,919
Beliak Mata,November,2016,834
Beliak Mata,December,2016,"1,032"
Terubuk,January ,2016,17
Terubuk,February ,2016,22
Terubuk,March,2016,80
Terubuk, April,2016,68
Terubuk,May,2016,75
Terubuk, June,2016,89
Terubuk, July,2016,120
Terubuk, August,2016,78
Terubuk,September,2016,57
Terubuk, October,2016,59
Terubuk,November,2016,45
Terubuk,December,2016,36
Terubuk T.Macrura,January ,2016,16
Terubuk T.Macrura,February ,2016,25
Terubuk T.Macrura,March,2016,113
Terubuk T.Macrura, April,2016,384
Terubuk T.Macrura,May,2016,74
Terubuk T.Macrura, June,2016,112
Terubuk T.Macrura, July,2016,67
Terubuk T.Macrura, August,2016,64
Terubuk T.Macrura,September,2016,111
Terubuk T.Macrura, October,2016,79
Terubuk T.Macrura,November,2016,28
Terubuk T.Macrura,December,2016,26
Ikan Tiram,January ,2016,0
Ikan Tiram,February ,2016,9
Ikan Tiram,March,2016,1
Ikan Tiram, April,2016,0
Ikan Tiram,May,2016,0
Ikan Tiram, June,2016,0
Ikan Tiram, July,2016,0
Ikan Tiram, August,2016,0
Ikan Tiram,September,2016,0
Ikan Tiram, October,2016,0
Ikan Tiram,November,2016,0
Ikan Tiram,December,2016,0
Empirit,January ,2016,2
Empirit,February ,2016,5
Empirit,March,2016,13
Empirit, April,2016,25
Empirit,May,2016,26
Empirit, June,2016,24
Empirit, July,2016,20
Empirit, August,2016,17
Empirit,September,2016,32
Empirit, October,2016,30
Empirit,November,2016,5
Empirit,December,2016,4
Siakap,January ,2016,91
Siakap,February ,2016,89
Siakap,March,2016,103
Siakap, April,2016,124
Siakap,May,2016,134
Siakap, June,2016,123
Siakap, July,2016,118
Siakap, August,2016,141
Siakap,September,2016,187
Siakap, October,2016,145
Siakap,November,2016,187
Siakap,December,2016,113
Sebelah,January ,2016,401
Sebelah,February ,2016,357
Sebelah,March,2016,370
Sebelah, April,2016,380
Sebelah,May,2016,372
Sebelah, July,2016,386
Sebelah, August,2016,395
Sebelah,September,2016,463
Sebelah, October,2016,421
Sebelah,November,2016,418
Sebelah,December,2016,423
Kebasi ,January ,2017,443
Kebasi ,February ,2017,412
Kebasi ,March,2017,513
Kebasi , April,2017,515
Kebasi ,May,2017,610
Kebasi , June,2017,356
Kebasi , July,2017,375
Kebasi , August,2017,370
Kebasi ,September,2017,327
Kebasi , October,2017,283
Kebasi ,November,2017,345
Kebasi ,December,2017,43
Selangat,January ,2017,811
Selangat,February ,2017,479
Selangat,March,2017,461
Selangat, April,2017,431
Selangat,May,2017,280
Selangat, June,2017,218
Selangat, July,2017,343
Selangat, August,2017,182
Selangat,September,2017,291
Selangat, October,2017,184
Selangat,November,2017,261
Selangat,December,2017,15
Puput,January ,2017,440
Puput,February ,2017,554
Puput,March,2017,513
Puput, April,2017,389
Puput,May,2017,480
Puput, June,2017,418
Puput, July,2017,449
Puput, August,2017,648
Puput,September,2017,479
Puput, October,2017,801
Puput,November,2017,693
Puput,December,2017,0
Beliak Mata,January ,2017,640
Beliak Mata,February ,2017,561
Beliak Mata,March,2017,477
Beliak Mata, April,2017,602
Beliak Mata,May,2017,516
Beliak Mata, June,2017,540
Beliak Mata, July,2017,454
Beliak Mata, August,2017,565
Beliak Mata,September,2017,547
Beliak Mata, October,2017,687
Beliak Mata,November,2017,764
Beliak Mata,December,2017,25
Terubuk,January ,2017,3
Terubuk,February ,2017,8
Terubuk,March,2017,12
Terubuk, April,2017,6
Terubuk,May,2017,3
Terubuk, June,2017,2
Terubuk, July,2017,1
Terubuk, August,2017,1
Terubuk,September,2017,3
Terubuk, October,2017,1
Terubuk,November,2017,1
Terubuk,December,2017,0
Terubuk T.Macrura,January ,2017,0
Terubuk T.Macrura,February ,2017,0
Terubuk T.Macrura,March,2017,0
Terubuk T.Macrura, April,2017,0
Terubuk T.Macrura,May,2017,0
Terubuk T.Macrura, June,2017,0
Terubuk T.Macrura, July,2017,0
Terubuk T.Macrura, August,2017,0
Terubuk T.Macrura,September,2017,0
Terubuk T.Macrura, October,2017,0
Terubuk T.Macrura,November,2017,0
Terubuk T.Macrura,December,2017,0
Ikan Tiram,January ,2017,0
Ikan Tiram,February ,2017,0
Ikan Tiram,March,2017,0
Ikan Tiram, April,2017,0
Ikan Tiram,May,2017,0
Ikan Tiram, June,2017,0
Ikan Tiram, July,2017,0
Ikan Tiram, August,2017,0
Ikan Tiram,September,2017,0
Ikan Tiram, October,2017,0
Ikan Tiram,November,2017,0
Ikan Tiram,December,2017,0
Empirit,January ,2017,0
Empirit,February ,2017,0
Empirit,March,2017,0
Empirit, April,2017,0
Empirit,May,2017,0
Empirit, June,2017,0
Empirit, July,2017,0
Empirit, August,2017,0
Empirit,September,2017,0
Empirit, October,2017,0
Empirit,November,2017,0
Empirit,December,2017,0
Siakap,January ,2017,134
Siakap,February ,2017,152
Siakap,March,2017,140
Siakap, April,2017,140
Siakap,May,2017,150
Siakap, June,2017,126
Siakap, July,2017,120
Siakap, August,2017,176
Siakap,September,2017,121
Siakap, October,2017,133
Siakap,November,2017,129
Siakap,December,2017,15
Sebelah,January ,2017,411
Sebelah,February ,2017,481
Sebelah,March,2017,493
Sebelah, April,2017,476
Sebelah,May,2017,505
Sebelah, June,2017,451
Sebelah, July,2017,435
Sebelah, August,2017,514
Sebelah,September,2017,386
Sebelah, October,2017,368
Sebelah,November,2017,465
Sebelah,December,2017,137
Kebasi ,January ,2018,552
Kebasi ,February ,2018,659
Kebasi ,March,2018,646
Kebasi , April,2018,722
Kebasi ,May,2018,622
Kebasi , June,2018,598
Kebasi , July,2018,712
Kebasi , August,2018,801
Kebasi ,September,2018,689
Kebasi , October,2018,693
Kebasi ,November,2018,655
Kebasi ,December,2018,630
Selangat,January ,2018,350
Selangat,February ,2018,221
Selangat,March,2018,442
Selangat, April,2018,504
Selangat,May,2018,354
Selangat, June,2018,341
Selangat, July,2018,439
Selangat, August,2018,473
Selangat,September,2018,469
Selangat, October,2018,372
Selangat,November,2018,414
Selangat,December,2018,379
Puput,January ,2018,923
Puput,February ,2018,917
Puput,March,2018,1032
Puput, April,2018,1068
Puput,May,2018,1193
Puput, June,2018,1304
Puput, July,2018,1433
Puput, August,2018,1406
Puput,September,2018,1193
Puput,November,2018,1126
Puput,December,2018,934
Beliak Mata,January ,2018,761
Beliak Mata,February ,2018,852
Beliak Mata,March,2018,844
Beliak Mata, April,2018,848
Beliak Mata,May,2018,634
Beliak Mata, June,2018,634
Beliak Mata, July,2018,454
Beliak Mata, August,2018,460
Beliak Mata,September,2018,494
Beliak Mata, October,2018,538
Beliak Mata,November,2018,654
Beliak Mata,December,2018,620
Terubuk,January ,2018,6
Terubuk,February ,2018,7
Terubuk,March,2018,10
Terubuk, April,2018,22
Terubuk,May,2018,11
Terubuk, June,2018,21
Terubuk, July,2018,133
Terubuk, August,2018,135
Terubuk,September,2018,123
Terubuk, October,2018,17
Terubuk,November,2018,13
Terubuk,December,2018,8
Terubuk T.Macrura,January ,2018,29
Terubuk T.Macrura,February ,2018,32
Terubuk T.Macrura,March,2018,102
Terubuk T.Macrura, April,2018,194
Terubuk T.Macrura,May,2018,141
Terubuk T.Macrura, June,2018,101
Terubuk T.Macrura, July,2018,136
Terubuk T.Macrura, August,2018,136
Terubuk T.Macrura,September,2018,112
Terubuk T.Macrura, October,2018,36
Terubuk T.Macrura,November,2018,30
Terubuk T.Macrura,December,2018,26
Ikan Tiram,January ,2018,0
Ikan Tiram,February ,2018,0
Ikan Tiram,March,2018,0
Ikan Tiram, April,2018,0
Ikan Tiram,May,2018,0
Ikan Tiram, June,2018,0
Ikan Tiram, July,2018,0
Ikan Tiram, August,2018,0
Ikan Tiram,September,2018,0
Ikan Tiram, October,2018,0
Ikan Tiram,November,2018,0
Ikan Tiram,December,2018,0
Empirit,January ,2018,5
Empirit,February ,2018,11
Empirit,March,2018,66
Empirit, April,2018,101
Empirit,May,2018,37
Empirit, June,2018,32
Empirit, July,2018,41
Empirit, August,2018,26
Empirit,September,2018,16
Empirit, October,2018,7
Empirit,November,2018,14
Empirit,December,2018,29
Siakap,January ,2018,195
Siakap,February ,2018,193
Siakap,March,2018,253
Siakap, April,2018,256
Siakap,May,2018,257
Siakap, June,2018,248
Siakap, July,2018,254
Siakap, August,2018,224
Siakap,September,2018,199
Siakap, October,2018,191
Siakap,November,2018,196
Siakap,December,2018,165
Sebelah,January ,2018,383
Sebelah,February ,2018,341
Sebelah,March,2018,388
Sebelah, April,2018,438
Sebelah,May,2018,429
Sebelah, June,2018,411
Sebelah, July,2018,510
Sebelah,September,2018,415
Sebelah, October,2018,411
Sebelah,November,2018,393
Sebelah,December,2018,374
